Malicious_Label,obj,stream,xref,startxref,Encrypt,ObjStm,JS,Javascript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA
no,0.214222292804308,0.07623039814793023,-0.9006097490633505,-0.9564235074372361,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-0.8094161599668727,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
no,0.5855546554965969,0.45312951519968553,-1.1372126264852636,-1.2005802701859045,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,-0.15711006988798093,-0.41373845401935166,-0.9006097490633505,-0.9564235074372361,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,0.3901165698690764,0.4908194269048611,-0.9006097490633505,-0.9564235074372361,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.7989655727670968,-0.7989655727670968
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,0.018784207176787512,-0.03683933696759636,-0.9006097490633505,-0.9564235074372361,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,-0.11802245276247682,-0.2629788071986495,-0.9006097490633505,-0.9564235074372361,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,-0.07893483563697273,-0.225288895493474,-1.1372126264852636,-1.2005802701859045,-1.0062059765173166,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
no,0.2728537184925641,-0.18759898378829848,-0.9006097490633505,-0.9564235074372361,-0.805347560542191,-0.9938058405809691,-0.9999210272999891,-0.9995494758492213,-0.9981163898483236,-1.0107102261896144,-1.0143610073478404,-0.9991578528073669,-0.9969954864491613,-0.9969954864491613,-0.9991587559912223,-0.9991587559912223
yes,-0.3525481555155014,-0.2629788071986495,0.9922132703119546,0.9968305945521109,1.0023781832339391,0.7452453626822625,1.0023309594806677,1.0021595277094282,1.0029333601592747,1.0022304360378038,1.0020240476333118,1.001164193877261,1.003013567856299,1.003013567856299,1.002773076250033,1.002773076250033
